number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	42.0	12.0	54.0	161.0	-112.0	49.0	40.0	10.0	50.0	57.0	46.0	103.0
-	43.0	18.0	61.0	71.0	-31.0	40.0	43.0	15.0	58.0	55.0	16.0	71.0
-	40.0	15.0	55.0	53.0	3.0	56.0	43.0	8.0	51.0	74.0	1.0	75.0
-	36.0	17.0	53.0	339.0	-296.0	43.0	35.0	29.0	64.0	68.0	6.0	74.0
-	37.0	18.0	55.0	38.0	9.0	47.0	44.0	20.0	64.0	57.0	30.0	87.0
-	36.0	21.0	57.0	66.0	-18.0	48.0	46.0	30.0	76.0	54.0	51.0	105.0
-	36.0	28.0	64.0	131.0	-85.0	46.0	37.0	26.0	63.0	61.0	23.0	84.0
-	43.0	.0	43.0	35.0	6.0	41.0	47.0	19.0	66.0	69.0	18.0	87.0
-	50.0	1.0	51.0	106.0	-46.0	60.0	37.0	23.0	60.0	70.0	20.0	90.0
-	46.0	8.0	54.0	93.0	-30.0	63.0	41.0	11.0	52.0	69.0	13.0	82.0
-	44.0	17.0	61.0	47.0	12.0	59.0	38.0	25.0	63.0	66.0	16.0	82.0
-	36.0	26.0	62.0	45.0	15.0	60.0	37.0	401.0	438.0	58.0	40.0	98.0
-	45.0	-2.0	43.0	44.0	2.0	46.0	43.0	55.0	98.0	69.0	15.0	84.0
-	36.0	12.0	48.0	40.0	9.0	49.0	44.0	39.0	83.0	55.0	32.0	87.0
-	36.0	10.0	46.0	36.0	21.0	57.0	43.0	24.0	67.0	62.0	24.0	86.0
-	51.0	2.0	53.0	36.0	23.0	59.0	45.0	32.0	77.0	69.0	16.0	85.0
-	44.0	5.0	49.0	36.0	311.0	347.0	46.0	22.0	68.0	67.0	-3.0	64.0
-	35.0	9.0	44.0	37.0	22.0	59.0	37.0	23.0	60.0	61.0	23.0	84.0
-	41.0	25.0	66.0	36.0	49.0	85.0	40.0	21.0	61.0	59.0	12.0	71.0
-	35.0	19.0	54.0	44.0	24.0	68.0	45.0	12.0	57.0	60.0	23.0	83.0
-	36.0	19.0	55.0	46.0	17.0	63.0	37.0	22.0	59.0	62.0	29.0	91.0
-	35.0	25.0	60.0	44.0	15.0	59.0	41.0	28.0	69.0	65.0	27.0	92.0
-	36.0	25.0	61.0	78.0	-33.0	45.0	39.0	38.0	77.0	65.0	15.0	80.0
-	41.0	10.0	51.0	47.0	.0	47.0	41.0	30.0	71.0	67.0	16.0	83.0
-	35.0	32.0	67.0	55.0	-2.0	53.0	42.0	28.0	70.0	70.0	18.0	88.0
-	45.0	10.0	55.0	37.0	19.0	56.0	44.0	15.0	59.0	63.0	37.0	100.0
-	37.0	20.0	57.0	41.0	23.0	64.0	44.0	15.0	59.0	62.0	21.0	83.0
-	45.0	19.0	64.0	36.0	29.0	65.0	46.0	13.0	59.0	61.0	16.0	77.0
-	46.0	1.0	47.0	36.0	22.0	58.0	44.0	32.0	76.0	63.0	23.0	86.0
-	41.0	21.0	62.0	38.0	9.0	47.0	38.0	21.0	59.0	55.0	28.0	83.0
-	36.0	35.0	71.0	39.0	13.0	52.0	41.0	13.0	54.0	65.0	32.0	97.0
-	35.0	34.0	69.0	48.0	8.0	56.0	36.0	28.0	64.0	64.0	17.0	81.0
-	39.0	14.0	53.0	36.0	25.0	61.0	45.0	14.0	59.0	64.0	21.0	85.0
-	51.0	14.0	65.0	42.0	4.0	46.0	37.0	27.0	64.0	63.0	33.0	96.0
-	36.0	26.0	62.0	36.0	24.0	60.0	43.0	11.0	54.0	65.0	15.0	80.0
