eye maximum 131072 descriptions with 50 repeats
2 (AVG)	65.6	28.6	94.2
-	73.0	29.0	102.0
-	69.0	29.0	98.0
-	62.0	36.0	98.0
-	62.0	25.0	87.0
-	73.0	14.0	87.0
-	55.0	41.0	96.0
-	75.0	22.0	97.0
-	72.0	16.0	88.0
-	63.0	19.0	82.0
-	67.0	22.0	89.0
-	69.0	36.0	105.0
-	60.0	34.0	94.0
-	62.0	33.0	95.0
-	72.0	9.0	81.0
-	68.0	23.0	91.0
-	68.0	50.0	118.0
-	77.0	58.0	135.0
-	77.0	13.0	90.0
-	67.0	24.0	91.0
-	71.0	25.0	96.0
-	59.0	34.0	93.0
-	63.0	42.0	105.0
-	69.0	26.0	95.0
-	57.0	30.0	87.0
-	65.0	29.0	94.0
-	70.0	12.0	82.0
-	60.0	34.0	94.0
-	62.0	35.0	97.0
-	68.0	26.0	94.0
-	65.0	32.0	97.0
-	62.0	34.0	96.0
-	60.0	27.0	87.0
-	60.0	39.0	99.0
-	63.0	30.0	93.0
-	61.0	17.0	78.0
-	62.0	24.0	86.0
-	62.0	29.0	91.0
-	78.0	15.0	93.0
-	57.0	38.0	95.0
-	63.0	34.0	97.0
-	58.0	36.0	94.0
-	65.0	33.0	98.0
-	62.0	29.0	91.0
-	67.0	23.0	90.0
-	68.0	31.0	99.0
-	70.0	26.0	96.0
-	58.0	32.0	90.0
-	69.0	40.0	109.0
-	67.0	12.0	79.0
-	68.0	22.0	90.0
4 (AVG)	67.0	48.8	115.8
-	71.0	19.0	90.0
-	68.0	29.0	97.0
-	69.0	37.0	106.0
-	68.0	22.0	90.0
-	70.0	30.0	100.0
-	63.0	44.0	107.0
-	68.0	37.0	105.0
-	60.0	38.0	98.0
-	65.0	22.0	87.0
-	72.0	8.0	80.0
-	61.0	33.0	94.0
-	65.0	34.0	99.0
-	66.0	19.0	85.0
-	75.0	29.0	104.0
-	69.0	19.0	88.0
-	74.0	12.0	86.0
-	67.0	24.0	91.0
-	67.0	23.0	90.0
-	66.0	41.0	107.0
-	72.0	12.0	84.0
-	68.0	26.0	94.0
-	62.0	21.0	83.0
-	71.0	27.0	98.0
-	63.0	28.0	91.0
-	64.0	47.0	111.0
-	72.0	21.0	93.0
-	75.0	14.0	89.0
-	75.0	16.0	91.0
-	63.0	36.0	99.0
-	73.0	16.0	89.0
-	69.0	19.0	88.0
-	63.0	21.0	84.0
-	66.0	21.0	87.0
-	67.0	22.0	89.0
-	57.0	30.0	87.0
-	80.0	14.0	94.0
-	60.0	40.0	100.0
-	69.0	8.0	77.0
-	67.0	27.0	94.0
-	59.0	32.0	91.0
-	61.0	45.0	106.0
-	70.0	27.0	97.0
-	70.0	24.0	94.0
-	69.0	12.0	81.0
-	56.0	18.0	74.0
-	65.0	61.0	126.0
-	58.0	646.0	704.0
-	65.0	311.0	376.0
-	68.0	49.0	117.0
-	71.0	228.0	299.0
8 (AVG)	79.8	24.9	104.8
-	77.0	27.0	104.0
-	76.0	25.0	101.0
-	64.0	27.0	91.0
-	94.0	2.0	96.0
-	88.0	2.0	90.0
-	85.0	13.0	98.0
-	64.0	18.0	82.0
-	93.0	3.0	96.0
-	77.0	5.0	82.0
-	90.0	13.0	103.0
-	78.0	23.0	101.0
-	63.0	35.0	98.0
-	76.0	27.0	103.0
-	70.0	24.0	94.0
-	75.0	12.0	87.0
-	82.0	15.0	97.0
-	68.0	35.0	103.0
-	67.0	16.0	83.0
-	64.0	39.0	103.0
-	75.0	7.0	82.0
-	62.0	32.0	94.0
-	61.0	27.0	88.0
-	72.0	3.0	75.0
-	60.0	28.0	88.0
-	68.0	24.0	92.0
-	67.0	15.0	82.0
-	69.0	16.0	85.0
-	61.0	13.0	74.0
-	63.0	27.0	90.0
-	73.0	23.0	96.0
-	62.0	37.0	99.0
-	66.0	39.0	105.0
-	59.0	38.0	97.0
-	60.0	37.0	97.0
-	72.0	17.0	89.0
-	61.0	27.0	88.0
-	68.0	16.0	84.0
-	66.0	27.0	93.0
-	65.0	18.0	83.0
-	58.0	38.0	96.0
-	66.0	30.0	96.0
-	64.0	25.0	89.0
-	64.0	39.0	103.0
-	66.0	36.0	102.0
-	70.0	25.0	95.0
-	62.0	248.0	310.0
-	406.0	-9.0	397.0
-	193.0	-36.0	157.0
-	111.0	-7.0	104.0
-	71.0	25.0	96.0
16 (AVG)	73.1	47.5	120.6
-	78.0	20.0	98.0
-	66.0	385.0	451.0
